date_pulled,rank,song,artist
11/25/2015,1,Hello,Adele
11/25/2015,2,Sorry,Justin Bieber
11/25/2015,3,Hotline Bling,Drake
11/25/2015,4,Love Yourself,Justin Bieber
11/25/2015,5,What Do You Mean?,Justin Bieber
11/25/2015,6,The Hills,The Weeknd
11/25/2015,7,Stitches,Shawn Mendes
11/25/2015,8,679,Fetty Wap
11/25/2015,9,Wildest Dreams,Taylor Swift
11/25/2015,10,Here,Alessia Cara
11/25/2015,11,Like I'm Gonna Lose You,Meghan Trainor
11/25/2015,12,Ex's & Oh's,Elle King
11/25/2015,13,Same Old Love,Selena Gomez
11/25/2015,14,Focus,Ariana Grande
11/25/2015,15,On My Mind,Ellie Goulding
11/25/2015,16,Jumpman,Drake & Future
11/25/2015,17,Can't Feel My Face,The Weeknd
11/25/2015,18,Watch Me,Silento
11/25/2015,19,I'll Show You,Justin Bieber
11/25/2015,20,Locked Away,R. City
11/25/2015,21,Lean On,Major Lazer & DJ Snake
11/25/2015,22,WTF (Where They From),Missy Elliott
11/25/2015,23,Antidote,Travi$ Scott
11/25/2015,24,Uptown Funk!,Mark Ronson
11/25/2015,25,Die A Happy Man,Thomas Rhett
11/25/2015,26,Renegades,X Ambassadors
11/25/2015,27,Hit The Quan,iLoveMemphis
11/25/2015,28,White Iverson,Post Malone
11/25/2015,29,Trap Queen,Fetty Wap
11/25/2015,30,Great Is Thy Faithfulness,Jordan Smith
11/25/2015,31,The Feeling,Justin Bieber
11/25/2015,32,Good For You,Selena Gomez
11/25/2015,33,I'm Comin' Over,Chris Young
11/25/2015,34,Where Are U Now,Skrillex & Diplo With Justin Bieber
11/25/2015,35,Where Ya At,Future
11/25/2015,36,Confident,Demi Lovato
11/25/2015,37,Perfect,One Direction
11/25/2015,38,Don't,Bryson Tiller
11/25/2015,39,My Way,Fetty Wap
11/25/2015,40,Drag Me Down,One Direction
11/25/2015,41,See You Again,Wiz Khalifa
11/25/2015,42,Mark My Words,Justin Bieber
11/25/2015,43,Purpose,Justin Bieber
11/25/2015,44,Break Up In A Small Town,Sam Hunt
11/25/2015,45,Again,Fetty Wap
11/25/2015,46,Photograph,Ed Sheeran
11/25/2015,47,Cheerleader,OMI
11/25/2015,48,How Deep Is Your Love,Calvin Harris & Disciples
11/25/2015,49,No Pressure,Justin Bieber
11/25/2015,50,Lay It All On Me,Rudimental
11/25/2015,51,Say It,Tory Lanez
11/25/2015,52,No Role Modelz,J. Cole
11/25/2015,53,Company,Justin Bieber
11/25/2015,54,No Sense,Justin Bieber
11/25/2015,55,Back Up,DeJ Loaf
11/25/2015,56,Smoke Break,Carrie Underwood
11/25/2015,57,Downtown,Macklemore & Ryan Lewis
11/25/2015,58,Burning House,Cam
11/25/2015,59,Bet You Can't Do It Like Me,DLOW
11/25/2015,60,Nothin' Like You,Dan + Shay
11/25/2015,61,Gonna,Blake Shelton
11/25/2015,62,Roses,The Chainsmokers
11/25/2015,63,Blase,Ty Dolla $ign
11/25/2015,64,Break Up With Him,Old Dominion
11/25/2015,65,Come Get Her,Rae Sremmurd
11/25/2015,66,Tennessee Whiskey,Chris Stapleton
11/25/2015,67,Life Is Worth Living,Justin Bieber
11/25/2015,68,Back To Back,Drake
11/25/2015,69,Stressed Out,twenty one pilots
11/25/2015,70,Strip It Down,Luke Bryan
11/25/2015,71,The Fix,Nelly
11/25/2015,72,Adventure Of A Lifetime,Coldplay
11/25/2015,73,Gonna Know We Were Here,Jason Aldean
11/25/2015,74,Children,Justin Bieber
11/25/2015,75,Hide Away,Daya
11/25/2015,76,Big Rings,Drake & Future
11/25/2015,77,Stay A Little Longer,Brothers Osborne
11/25/2015,78,Exchange,Bryson Tiller
11/25/2015,79,Liquor,Chris Brown
11/25/2015,80,Let Me See Ya Girl,Cole Swindell
11/25/2015,81,Been You,Justin Bieber
11/25/2015,82,I Got The Boy,Jana Kramer
11/25/2015,83,If I Could Fly,One Direction
11/25/2015,84,Love Myself,Hailee Steinfeld
11/25/2015,85,Top Of The World,Tim McGraw
11/25/2015,86,In The Night,The Weeknd
11/25/2015,87,Olivia,One Direction
11/25/2015,88,We Are,Justin Bieber
11/25/2015,89,"Me, Myself & I",G-Eazy x Bebe Rexha
11/25/2015,90,Get Used To Me,Justin Bieber
11/25/2015,91,Right Hand,Drake
11/25/2015,92,I Love This Life,LoCash
11/25/2015,93,Cake By The Ocean,DNCE
11/25/2015,94,A.M.,One Direction
11/25/2015,95,RGF Island,Fetty Wap
11/25/2015,96,Temporary Fix,One Direction
11/25/2015,97,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello
11/25/2015,98,Trust,Justin Bieber
11/25/2015,99,My House,Flo Rida
11/25/2015,100,Never Enough,One Direction
